VideoId,PhoneId,Phone  Model [Reference Table],Url,Related Phones,CategoryId
1,101,Intex Aqua 5.0,http://www.youtube.com/watch?v=_4-1sFC6hdM,"Micromax A110,Micromax A100,Micromax A90,Galaxy Ace Duos",2
2,102,Lumia 920,http://www.youtube.com/watch?v=0M_O_dAYThU,"Lumia 800,Lumia 610,Lumia 510,Lumia 710,Omnia W,HTC 8X,Lumia 820",2
3,103,Aakash 2,http://www.youtube.com/watch?v=Yx_aD6OYPpw,"Aakash,Galaxy Tab 2,Micromax FunBook",2
4,104,Lumia 800,http://www.youtube.com/watch?v=ohmdPj4Rvoo,"Lumia 920,Lumia 610,Lumia 510,Lumia 710,Omnia W,HTC 8X",1
5,105,Galaxy Tab 2 310,http://www.youtube.com/watch?v=JZ9C3PAvzdg,"Aakash,Galaxy Tab 2,Micromax FunBook,iPad Mini,Nexus 7",1
6,106,Micromax A110,http://www.youtube.com/watch?v=FsqrE8VWwu0,"Micromax A100,Micromax A90,Galaxy Ace Duos,Galaxy S2",2
7,107,Xperia Go,http://www.youtube.com/watch?v=Wjfv2onpqkM,"Galaxy Ace Duos,Xperia SL,Xperia P,Xperia U",8
8,108,Nexus 10 ,http://www.youtube.com/watch?v=YgONLgS_OA8,"Apple iPad,Nexus 7,Galaxy Note 10.1",2
9,109,XOLO A700 ,http://www.youtube.com/watch?v=iAUwfTGSEz4,"Micromax A110,Micromax A100,Micromax A90",2
10,110,Nexus 7 3G,http://www.youtube.com/watch?v=LxqMZiAZbQw,"iPad Mini,Nexus 7,Galaxy Tab 310",2
11,111,iPad Mini 3G,http://www.youtube.com/watch?v=ttsygOxRiOw,"iPad Mini,Nexus 7,Galaxy Tab 310",2
12,112,iPhone 5,http://www.youtube.com/watch?v=G48AP0UG18c,"iPhone 4S,Galaxy S III,HTC One X,Optimus 4X HD,HTC 8X,Lumia 920,Nexus 4,HTC One X+ ,Optimus G,Lumia 820",8
13,113,Galaxy Camera,http://www.youtube.com/watch?v=K_ijsYhg6Yk,"Nokia 808,iPhone 4S,Galaxy S III,HTC One X,Optimus 4X HD,HTC 8X,Lumia 920 ,Optimus G",8
14,114,Galaxy Camera,http://www.youtube.com/watch?v=yPR-eXb0gz8,,8
15,115,Nexus 4,http://www.youtube.com/watch?v=NYTc4bBB6kY,"HTC One X,HTC One X+,Optimus 4X HD,Galaxy S III,Lumia 920,HTC 8X,iPhone 5,Galaxy Nexus,Optimus G,Lumia 820",2
16,116,Galaxy S III,http://www.youtube.com/watch?v=3eOV-XfMJig,"HTC One X,HTC One X+,Optimus 4X HD,Nexus 4,Lumia 920,HTC 8X,iPhone 5,Galaxy Nexus,Optimus G,Lumia 820",1
17,117,Nexus 4 ,http://www.youtube.com/watch?v=8X0AQJ77KRk,,1
18,118,Nexus 10 ,http://www.youtube.com/watch?v=8X0AQJ77KRk,,1
19,119,HTC One X+,http://www.youtube.com/watch?v=hTxycEDAPsk,"HTC One X,Galaxy SIII ,Optimus 4X HD,Nexus 4,Lumia 920,HTC 8X,iPhone 5,Galaxy Nexus,Optimus G,Lumia 820",3
20,120,Galaxy Camera,http://www.youtube.com/watch?v=p7dXpIe6td8,,2
21,121,iPhone 5,http://www.youtube.com/watch?v=7GdNXm3IMtQ,,1
22,122,Microsoft Surface RT,http://www.youtube.com/watch?v=ZfZQ0rs1s5Q,"iPad,iPad Mini,Nexus 10,Nexus 7,Galaxy Tab 310,Galaxy Tab 10.1",2
23,123,Nexus 4,http://www.youtube.com/watch?v=y0TE21nhSJs,,3
24,124,Optimus G,http://www.youtube.com/watch?v=LI0RMh6nEe4,"HTC One X,HTC One X+,Optimus 4X HD,Galaxy S III,Lumia 920,HTC 8X,iPhone 5,Galaxy Nexus,Nexus 4",4
25,125,One X+,http://www.youtube.com/watch?v=vsfAwWcShNE,,3
26,126,Xperia SL,http://www.youtube.com/watch?v=W3Gl5k1j0MY,"Xperia P,Xperia U,Xperia Go,HTC One X,HTC One X+,Optimus 4X HD,Galaxy S III,Lumia 920,HTC 8X,iPhone 5,Galaxy Nexus,Nexus 4",2
27,127,Lumia 510,http://www.youtube.com/watch?v=cmbwihoVWHw,"Lumia 800,Lumia 610,Lumia 920,Lumia 710,Omnia W,HTC 8X,HTC 8S,Lumia 820 ",2
28,128,iPad Mini,http://www.youtube.com/watch?v=_XK3qOCp8XQ,"Nexus 7,Galaxy Tab 2,Micromax Funbook,Aakash 2",2
29,129,Desire SV,http://www.youtube.com/watch?v=vwTXBDqWxzU,,3
30,130,PadFone 2,http://www.youtube.com/watch?v=vNv6_WysUyQ,"Apple iPad,Nexus 7,Galaxy Note 10.1,Asus Padfone",2
31,131,Xperia J,http://www.youtube.com/watch?v=_hOuNcOAK0g,"Xperia P,Xperia U,Xperia Go,HTC One X,HTC One X+,Optimus 4X HD,Galaxy S III,Lumia 920,HTC 8X,iPhone 5,Galaxy Nexus,Nexus 4",2
32,132,Optimus Vu,http://www.youtube.com/watch?v=seWENQ0bekc,"Galaxy Note,Galaxy Note 2,iPad Mini,Nexus 7",2
33,133,Xperia Miro,http://www.youtube.com/watch?v=Cl_cDSL-MOI,"Xperia P,Xperia U,Xperia Go,Galaxy Nexus,Xperia Tipo Dual,Xperia Tipo",2
34,134,iPhone 5,http://www.youtube.com/watch?v=bUh-uNS_xLU,,4
35,135,Galaxy Nexus,http://www.youtube.com/watch?v=ieMmuWNRKFY,,5
36,136,iPhone 5,http://www.youtube.com/watch?v=ieMmuWNRKFY,,5
37,137,Galaxy Note 2,http://www.youtube.com/watch?v=9L0R_stVoVc,"Galaxy Note,Galaxy Note 10.1,iPad Mini,Nexus 7,Galaxy Camera,Optimus Vu,Optimus 4X HD,Micromax A100, Micromax A110,Lumia 920",5
38,138,Galaxy Nexus,http://www.youtube.com/watch?v=9L0R_stVoVc,,5
39,139,Galaxy Note 2,http://www.youtube.com/watch?v=Jd7J_ZxUaOE,,5
40,140,Galaxy S III,http://www.youtube.com/watch?v=Jd7J_ZxUaOE,,5
41,141,Galaxy Note 2,http://www.youtube.com/watch?v=TvkGj7NnVqg,,5
42,142,Galaxy Note,http://www.youtube.com/watch?v=TvkGj7NnVqg,,5
43,143,HTC 8X,http://www.youtube.com/watch?v=lZB6i-xHZnw,"Lumia 800,Lumia 610,Lumia 510,Lumia 710,Omnia W,HTC One X,One X+,Lumia 920,Nexus 4,Optimus 4X HD,Lumia 820",3
44,144,HTC 8X,http://www.youtube.com/watch?v=x8ygKpxK_2o,,4
45,145,Ativ S,http://www.youtube.com/watch?v=tiuPzWlMjx8,"Lumia 800,Lumia 610,Lumia 510,Lumia 710,Omnia W,HTC One X,One X+,Lumia 920,Nexus 4,Galaxy S III,Optimus 4X HD,Lumia 820",3
46,146,Optimus G,http://www.youtube.com/watch?v=oxtX11kdyKg,,2
47,147,Xolo X900,http://www.youtube.com/watch?v=TGNaiWBrSb0,"Xolo A700,Micromax A100,A110,Aqua 5.0",1
48,148,Galaxy Note 2,http://www.youtube.com/watch?v=ztzxThhFG8I,,4
49,149,Galaxy Note 2,http://www.youtube.com/watch?v=SmmT1n2XV-E,,4
50,150,Galaxy Note 2,http://www.youtube.com/watch?v=ldW9UqtdSJw,,4
51,151,Galaxy Note 2,http://www.youtube.com/watch?v=utpU3zBMI9Q,,5
52,152,iPhone 5,http://www.youtube.com/watch?v=utpU3zBMI9Q,,5
53,153,Galaxy Camera,http://www.youtube.com/watch?v=JjnqfvXuXqI,,3
54,154,Note 2,http://www.youtube.com/watch?v=RXq-GhgDow8,,2
55,155,iPhone 5,http://www.youtube.com/watch?v=1aHgs28puRk,,1
56,156,Xperia Tipo Dual,http://www.youtube.com/watch?v=w-x-jzILG-c,"Xperia P,Xperia U,Xperia Go,Galaxy Nexus,Xperia Tipo Dual,Xperia Tipo,Xperia Miro,Lumia 510",1
57,157,iPhone5,http://www.youtube.com/watch?v=1fPsI7wl9l0,,1
58,158,iPhone 5,http://www.youtube.com/watch?v=CwlAvO25KNU,,2
59,159,iPhone 5,http://www.youtube.com/watch?v=mrKIwnP-VEw,,3
60,160,Xperia Tipo Dual,http://www.youtube.com/watch?v=YKmj2TT8aG4,,2
61,161,Xperia Tipo,http://www.youtube.com/watch?v=qtkXY1QlDPs,"Xperia P,Xperia U,Xperia Go,Galaxy Nexus,Xperia Tipo,Xperia Miro,Xperia P,Lumia 820,Lumia 510",6
62,162,Galaxy Note 10.1,http://www.youtube.com/watch?v=q9OMTDspsdk,"Apple iPad,Nexus 7,Galaxy Note 10.1,Galaxy Tab 310,Nexus 10",8
63,163,Galaxy Note 10.1,http://www.youtube.com/watch?v=cDLXRUUZN8Y,,6
64,164,Asus padfone ,http://www.youtube.com/watch?v=1LK-dtiJ72Q,"Apple iPad,Nexus 7,Galaxy Note 10.1,Asus Padfone 2",1
65,165,iPhone 4S,http://www.youtube.com/watch?v=wff8-tsoYOw,,4
